,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_25,6.66192247,1.99974543,1.54628987,3.91897352,4.36708849,4.02977257,4.54339568,4.67476813,3.04796699,4.12998636,1.45936298,1.89941996,2.89245292,4.2373134,2.40115395,51.16394961,55.28781759,2.39634874,2.0840636,1.94983618,3.3468927,2.8236816,2.942664,41.31013255,3.5762988,43.54587018,7.60909013,19.56016894,4.42623128,3.27727409,52.06282093,52.06282093,52.06282093,12.22488621,47.49124193,47.3011702,50.46859444,2.68698705,3.07209863,2.43970937,2.90370088,3.01839013,3.20280824,2.91356353,3.35295596,4.66995419,0.76566029,1.75386852,42.00854296,2.69311048,2.68698705,3.37222757,3.48134275,3.37222757,2.89196563,7.13714353,3.97785322,1.28177547,4.43957716,41.42792209,2.51948005,2.37958861,45.02464922,53.04197106,1.46369045,3.92741074,11.58959232,2.51002745,3.27108903,3.10828187,46.61343646,45.35693979,5.07271314,3.22985028,3.6722095,3.54602027,51.5566754,51.65370691,44.74258908,5.45702371,46.62691877,6.20814739,45.03633033,13.88384982,2.83009179,7.14190767,16.22069286,7.363259,7.363259,16.22069286,5.43957915,6.4156887,14.1330987,3.72997241,9.37161042,2.56291264,2.16838664,2.05990519,2.6975441,2.30969158,2.42277682,1.79728653,2.67355793,2.67355793,3.36893154,2.33030768,3.48484105,7.14612853,4.67460661,51.22469987,44.74258908,52.02585311,6.53716468,44.74258908,51.72897319,50.8694602,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_24,2.95202463,6.58144533,6.58144533,29.81677643,5.19940369,5.19940369,5.10169906,5.19940369,3.12040643,4.65575351,5.36289308,5.36289308,52.14449536,2.71174073,45.74164263,4.43287883,2.8297471,3.72937241,2.7086185,53.66498738,2.68333035,4.74322651,7.71368539,10.05441425,2.98778151,5.42760662,55.4626117,9.00348089,4.09505566,1.67505425,13.88444641,13.88444641,13.88444641,49.98266429,26.11070753,7.53767545,4.32124158,5.12506264,4.02689503,5.12506264,3.84962434,3.46322854,3.46322854,4.46182336,4.12335617,6.18614269,55.07156736,2.69155462,11.66434729,3.02507995,5.12506264,3.81022809,3.81022809,3.81022809,4.48035174,3.08042256,4.71239584,4.85186487,51.39271165,5.39125214,6.61622378,4.32098817,57.63004778,0.59351021,6.93485316,3.88945365,29.73933261,6.25785813,4.46131783,6.25785813,57.73930533,26.74253237,1.45626297,6.49546367,1.81633493,50.6678584,43.45841895,54.29026928,52.41358511,51.97751125,11.75154594,43.74708602,3.99268031,3.62890059,5.35436595,57.18360402,57.18360402,57.18360402,57.18360402,57.18360402,55.03541351,6.13171983,?,1.65267329,49.32075448,40.09809828,29.91793717,29.91793717,9.31471581,42.14343078,41.65002249,6.85124578,1.90188145,1.97469501,1.90188145,3.08971699,49.27286146,5.63834497,4.16802909,52.88890291,52.41358511,11.67827994,43.25688357,52.41358511,43.45841895,43.45841895,54.43101086,,,,,,,,,,,,,,,,,,,,,,,
Sequence_23,46.4571695,6.93350767,9.35947783,3.62760381,4.40665565,4.04269856,3.9775583,4.79921938,4.2129266,2.44394616,4.28522762,4.64091779,4.06904912,2.68068119,3.99324304,46.69402174,54.55417553,53.63634337,4.56027099,50.64421225,7.78703438,3.08659118,7.14290076,4.59737871,5.31237153,3.47316753,49.31723229,42.40787571,50.35975852,50.77345132,5.06289577,5.21739041,5.13058195,4.48865354,55.92870726,6.07021276,3.33475988,2.78655973,2.63197454,2.77530975,3.2793024,4.24436811,4.66663074,3.60356627,50.29784973,49.91284317,53.8762738,5.00219958,46.80930177,51.68987929,2.87780144,3.89196006,4.00282285,4.04978892,50.57017149,6.14684245,6.90349828,54.01197219,3.14504694,5.21440976,13.40317701,53.81362421,6.03739132,52.22583616,5.85126583,3.19020282,3.95273146,56.70481128,8.63223781,52.09738618,2.81714441,3.72270856,43.18991854,3.24158533,47.67876891,3.18286471,0.04085028,0.3311285,1.01366247,1.51027241,1.0572113,1.16684017,2.65381746,2.25701478,51.55751732,2.7585176,2.19331887,2.36110248,2.24160114,2.38503649,2.17185954,49.33737063,2.98346064,34.02010384,2.28159856,2.77224598,2.6175875,2.64680246,2.81962932,2.98445321,3.084962,6.86599644,42.18451814,40.1662089,42.60936379,50.32732977,2.06236986,13.5883697,45.8390293,4.99067795,0.99848299,0.77750404,0.53615709,1.00607862,0.12415081,0.152784,51.94690424,43.45841895,,,,,,,,,,,,,,,,,,,,,,
Sequence_22,46.55703985,6.93350767,9.35947783,3.79179557,5.07350817,4.57589407,4.4584758,5.3900241,4.81234226,2.70757576,4.35393791,5.07407147,4.20148558,2.83293864,4.15074015,46.87099371,54.5375485,51.01586154,4.58687824,50.62435022,56.55250281,3.30001575,7.14290076,4.61792892,5.21026216,3.58967867,49.12585514,42.3633489,50.20006371,50.72091517,5.13364524,5.28501404,5.19800454,4.48865354,55.62012915,6.17872467,3.39736278,2.94965251,2.77943539,2.98709537,3.54428079,6.45833571,7.6853644,3.93806668,50.27906038,49.84221204,53.62761816,7.46289316,46.77060916,51.63648441,3.05142128,3.89196006,4.00282285,4.04978892,50.84976303,7.39478417,52.93035155,53.74361888,3.2821953,5.34524422,10.74981103,53.49268537,6.16261183,52.22583616,5.80416106,3.54587769,5.01393319,48.67913105,10.02783377,51.64199557,3.02671302,3.93086241,43.42882502,3.30925502,47.57019365,3.57495275,0.04141934,0.33649132,1.03542608,1.39650937,1.08077629,1.19279102,2.74976246,2.25637873,51.25083658,2.80554098,2.22576422,2.40407221,2.27283021,2.42486151,2.20620198,49.23108996,3.0642335,34.05697159,2.28159856,2.82027454,2.6585617,2.69065422,2.87408149,3.04246405,3.14632671,6.95665174,41.63812624,39.58487205,42.56645421,50.2592718,2.06236986,15.31764,46.07373277,4.96509396,1.02066162,0.79315827,0.54594154,1.02827129,0.12590672,0.16916547,51.09383005,43.45841895,0.04151228,,,,,,,,,,,,,,,,,,,,,
Sequence_21,47.16600277,7.75147089,8.97692219,3.62678748,3.69222288,3.40130698,3.35551265,3.94183435,2.71327506,3.57747318,10.86052431,12.36151314,4.08652271,4.07648913,4.19102391,34.52548176,14.79678896,7.08922546,5.4693981,3.50021465,21.01663569,4.12106509,5.71415598,12.40199954,3.48255842,31.45198199,7.27177979,33.46189257,46.8606657,42.63945534,7.45213123,7.66721375,7.46971754,4.61491757,5.19329316,5.66539866,3.54461411,44.02187727,43.92057126,5.23793309,42.59164911,44.64288056,44.96874326,42.47575528,25.41066189,42.92110464,48.58009549,36.94540523,47.96638793,48.58000036,43.61917019,7.04581978,6.44269145,7.04581978,46.91346929,6.34935871,43.61938117,6.73821097,3.03158578,3.69911852,43.1485776,49.56032799,4.10835738,45.88027793,4.98472105,3.37310167,3.02666572,32.93077816,18.63209936,44.21145312,2.339184,2.9181317,47.69637843,3.92633267,47.64736515,1.20680081,1.07126739,1.14112194,0.15317589,0.47324313,0.23339109,0.34586994,3.74984988,2.49967153,45.83866021,2.61358124,2.30752087,2.47098627,2.22546333,2.7301257,2.5057181,7.26165584,2.7347974,47.56206951,2.77955847,2.38928715,3.06471129,3.19942031,3.47415437,2.7059788,2.68338868,6.0414774,50.06656401,49.17069647,49.92563093,45.50799161,2.11317284,45.77694893,38.00027161,5.36176464,0.19914702,1.42008392,1.28848101,0.19649721,1.24722781,1.30896902,46.09407107,51.85358914,0.97805351,1.09600061,,,,,,,,,,,,,,,,,,,,
Sequence_20,47.1629236,5.54235693,6.71533827,3.0847307,3.34153306,3.09799994,3.05771226,3.25419361,2.45807655,3.26977795,8.13542458,9.62000366,3.55983485,3.90854278,4.66496575,42.01703646,14.44085506,8.45622681,5.12830493,4.13672887,23.62196956,3.84201079,4.74221307,12.95857466,3.21125883,37.22373726,8.55224285,36.78250362,47.14063772,42.3369326,7.44899535,7.66447095,7.46669449,4.68655046,5.10153591,4.79967635,3.43333677,45.7200842,45.59137934,4.3627313,43.02433832,44.9260924,45.23387983,42.88296959,22.54404881,43.25289047,3.9157907,6.37856794,48.83469553,47.98746621,44.81454061,4.48617586,4.26989604,4.48617586,46.90939167,8.92318516,39.30541599,6.23331381,2.9451303,4.01651106,9.59432338,49.37076486,3.97890655,47.06231919,4.47682349,3.1690662,?,30.36935556,21.97109118,43.9489486,1.9486954,2.19795328,47.37576717,3.48062409,47.90744158,1.14405277,0.74961043,0.81370738,0.11334007,0.43247179,0.24449954,0.33604128,3.69985999,2.38856836,39.53014807,2.3031597,1.98044948,2.10972368,1.93584146,2.42134145,2.16592282,5.92733113,2.51706596,47.77449934,2.77955847,2.17192349,2.76541308,2.86486924,3.09186679,2.45076266,2.42366972,5.336953,50.32149749,49.46773944,50.36479623,42.89314613,2.11317284,45.37226707,42.14420036,5.33083351,0.15705071,1.30470775,1.10620989,0.15499531,0.89615611,1.12128022,44.28788029,52.41358511,0.84145798,0.8594065,0.11402001,,,,,,,,,,,,,,,,,,,
Sequence_19,47.09677275,7.63813417,8.80120215,3.60644243,3.96530045,3.62866726,3.57622258,3.92528234,3.10176143,3.85117869,9.98423343,11.90693732,3.78301211,3.85395143,4.61057448,36.41026745,13.77176193,30.5820083,5.69903831,3.76232779,21.23414397,4.32802204,5.15335275,11.23434148,3.36284858,31.96877785,8.03522104,33.95151398,46.7400512,42.51993006,7.67811263,7.88700603,7.6894483,4.67382571,5.32927204,4.65402624,3.45234322,43.97231625,43.8595472,4.88944317,42.49336039,44.50437585,44.90489214,42.39596246,24.72120993,42.76028707,47.79890509,7.19288651,48.26367461,48.66387321,43.5456153,5.45048738,5.17007906,5.45048738,46.42778785,9.01187148,42.86635372,6.6066008,3.10944754,4.10828584,43.29960737,49.18330384,3.91892819,45.92209795,3.9610451,3.5671427,74.01947585,32.46866581,21.97109118,44.01839714,2.53847283,2.04177765,47.19143237,3.86758975,47.84353782,1.40361492,0.92426445,0.94299171,0.23838392,0.29771928,0.32317182,0.39718262,3.7267153,2.50151801,45.63541892,2.46184172,2.10820348,2.34215155,2.11523626,2.54467625,2.39995724,6.72937905,2.50587902,47.49334187,2.77955847,2.49944328,2.99722394,3.31520698,3.57695437,2.80204236,2.78324075,6.53658147,49.83161819,48.8774418,49.90352024,45.28129942,2.11317284,44.98620963,38.69032297,5.2374328,0.24217626,1.35176167,1.07843109,0.19580273,1.09394719,1.35257389,46.20810518,51.85358914,1.03028192,1.05386934,0.1475895,0.10955865,,,,,,,,,,,,,,,,,,
Sequence_18,47.28111958,7.35644789,8.63811295,3.7671091,4.13666981,3.79274018,3.73881496,4.11830727,3.27512642,3.69663706,10.51481906,12.56909309,3.83040787,3.85534739,4.66496575,38.91444608,13.83921991,7.78485431,5.33919554,3.45903323,16.19678514,4.16237375,4.87078876,12.63843989,3.20811353,34.54342774,8.37898911,36.63434435,46.7152256,42.42588587,7.44740965,7.66225171,7.46509537,4.61491757,5.10153591,4.79967635,3.33617999,44.31766402,44.20175644,4.7366499,42.92149979,44.83672046,45.14558528,42.82455224,26.10596579,43.1927055,9.41416304,38.0501766,48.45465208,48.64020887,43.90160334,5.28278976,5.45048738,5.28278976,45.97563565,6.04213696,43.38890194,5.93956332,3.06033049,4.02223485,43.45956284,49.15917306,3.77061852,46.10454334,4.47682349,3.43579564,74.01947585,32.63433196,19.39930983,44.03235776,2.30131821,2.39895101,47.39080225,3.7476638,47.68872444,1.28656134,0.86871463,0.88798871,0.20349236,0.34645222,0.28876007,0.39204387,3.74753065,2.47560084,45.50182606,2.3944047,2.02369438,2.21681637,2.02210159,2.45296272,2.27910875,6.58260969,2.39324924,47.70710993,2.77955847,2.34431208,2.80129713,3.12874912,3.38692555,2.65206677,2.62848748,6.35340102,50.06640316,49.11470907,50.14319097,45.61376734,2.11317284,45.11539987,39.66802579,5.14172761,0.20683736,1.26409821,1.09558854,0.16074453,1.02949637,1.27660205,45.81457178,51.85358914,0.96952181,0.99111485,0.14614321,0.1085183,0.06789688,,,,,,,,,,,,,,,,,
Sequence_17,46.93776715,7.63813417,8.80120215,3.7671091,4.13666981,3.79274018,3.73881496,4.11830727,3.81394264,3.69663706,10.51481906,12.56909309,3.49639644,28.28667317,4.61057448,36.41026745,13.79660716,28.78671925,5.53162805,6.30083195,16.34547693,3.75338076,99.72546021,14.05217481,6.87655555,33.69897755,7.5359801,35.7875744,46.38062919,42.17686625,7.62632087,7.84022573,7.63926354,4.67382571,5.32927204,5.01305673,3.40004738,43.90896231,43.82230409,44.83610413,42.63361427,44.53300133,44.91898118,42.5456418,24.99252082,43.0741169,7.8061255,11.95083269,48.07533158,48.76007922,43.54699166,5.28278976,5.45048738,5.28278976,45.59932109,40.07601703,43.17986934,8.39716288,3.10157211,4.10955969,4.87993216,49.07152561,4.59148692,45.78380453,3.9610451,3.58523821,50.89085336,32.24526795,20.22336037,43.65491303,2.87764501,2.04177765,46.69429064,3.8549186,47.61522598,1.48823694,1.19849807,1.21237567,0.35820826,0.35584658,0.4543681,0.51145259,3.64863805,3.42593622,45.38404577,2.82378122,2.44118948,2.73318474,2.37888962,2.94537642,2.3545183,6.80558549,2.50587902,47.31974591,2.92557399,2.84070552,2.55366215,2.83481515,3.04131975,3.20081553,3.18967771,5.26889054,49.673185,49.40640463,49.80216019,45.41733106,4.50089357,44.98620963,38.03880486,5.66238953,0.36408877,1.79271592,1.48040502,0.30881558,1.40780887,1.70317108,45.96137113,51.31458234,1.32210161,1.35433602,0.27994747,0.23767716,0.10760443,0.10816219,,,,,,,,,,,,,,,,
Sequence_16,46.80042826,5.80798377,7.02552087,5.79827443,7.61202574,6.01724189,5.72925829,40.00208615,4.28088467,5.83339594,5.70828254,6.82812349,3.70018022,5.11997898,4.27064645,40.98910842,15.88245387,35.9759197,10.25558695,33.25659037,40.12253374,4.41835215,11.46001321,11.55392286,3.92565832,32.83006526,6.85687285,32.83275111,47.32705105,43.15313473,7.40033195,7.61796585,7.41952908,4.68655046,4.8962047,5.69299628,3.22390929,5.75491607,5.9235695,5.41503356,42.66278702,44.73910961,45.06278457,42.42945279,20.50725225,42.88211356,7.32422124,32.50566,47.93053934,47.76959113,7.03032798,27.8419544,25.50066581,27.8419544,48.06237866,48.78325218,39.48910213,29.60795906,3.06204152,3.45204137,41.03701334,49.59590547,4.01876368,46.86897614,5.08786223,3.78751424,4.56779686,31.49769726,30.56893524,43.92909375,1.92982521,2.59370402,46.64699918,3.43321988,48.0684257,0.94996288,0.94821689,1.01730752,0.15468617,0.53831339,0.1165754,0.29071363,4.11049056,2.98112254,41.36048162,2.92897499,2.70931811,2.80272331,2.42428322,2.71359761,2.86073004,5.96026554,2.87538118,47.52134787,2.77955847,2.03778289,2.79836549,2.91409868,3.25684058,2.3035056,2.27324038,5.96049087,50.27178152,49.54231707,50.37285218,43.23525821,2.11317284,45.67289341,42.40294844,5.48208328,0.11695991,1.43332806,1.22027496,0.11544048,1.11474429,1.26629943,44.81729604,51.97167875,1.05214025,1.07553005,0.24192738,0.19858829,0.33533378,0.29978564,0.47302843,,,,,,,,,,,,,,,
Sequence_15,2.75540034,1.90909886,1.90909886,2.54135637,2.34460401,2.34460401,2.34460401,2.34460401,2.82717696,3.35718107,1.75535766,1.75535766,47.57525679,2.23316815,50.3807872,2.93997735,4.49613155,1.66217425,5.47659605,52.09188402,4.34578098,4.6630423,1.44189096,47.71208071,3.8250654,47.58700377,7.16252874,5.91975446,5.17543964,3.00107503,7.4737509,8.17458164,7.52498337,46.14402944,28.43928771,54.76378957,4.30789218,1.12579103,1.12579103,1.10710462,1.12496863,1.48232632,1.48232632,1.18347642,4.05998906,2.36311455,54.48810984,3.14339372,4.36399463,5.79816502,1.12579103,2.50674469,2.36486793,2.25754155,6.30238366,3.26672364,3.7460792,1.27614005,48.84264186,3.14766677,5.34406264,46.11919028,6.0177619,4.13579908,?,23.67839023,1.53334458,1.61795414,2.43835971,1.61795414,57.65456394,25.79904024,1.30410709,1.80228354,2.64980549,1.69372825,2.85075377,3.16546924,51.26684669,50.37116842,4.04558524,4.71836534,2.79201726,3.5621442,3.75499794,56.4437315,56.96726379,56.4437315,55.93864668,57.23733521,54.21981518,3.51435356,56.99581037,4.46758523,47.5841876,2.43586605,3.62056008,5.19392197,5.44737452,3.01349157,3.01349157,51.16603333,1.6568464,5.75868396,1.36468048,2.83604129,1.77547456,6.50708233,3.29100618,51.94044766,49.95741257,6.65535489,4.85153465,7.64643147,2.85075377,2.85075377,55.78390356,2.62932925,2.85075377,2.85075377,50.39952271,51.42766863,50.65620377,51.04028593,49.7446258,50.711746,,,,,,,,,,,,,,
Sequence_14,2.82400247,4.9826445,4.9826445,7.80683719,4.44745635,5.28763555,4.15737119,5.6682029,4.65586304,4.9076794,2.64539438,2.37480228,50.05187919,19.98380233,49.260333,1.78068033,2.01926824,1.80597518,1.7807547,2.29432368,1.51718083,5.51979323,4.02987249,47.55484374,50.30027384,47.55484374,54.82378717,2.29422687,3.55722162,2.89692956,15.18708952,15.60866215,14.97984059,4.25055923,29.38808822,44.48064684,6.7689991,1.70831743,2.11537346,1.84331078,1.64096817,1.63614664,1.63614664,1.78385331,2.39259919,3.35984359,3.54850912,2.0609858,5.91898504,10.49048946,1.70831743,3.86455365,3.95761404,3.86455365,1.82409928,5.26509175,8.18369626,1.88128627,4.35105616,5.36750529,2.97335953,2.71992274,55.96290032,2.9559782,32.60483901,5.6246947,27.57318109,2.5182699,1.57333187,2.16787745,5.93424987,47.31979236,2.94873745,39.11778885,2.53038823,3.84187499,43.62100435,52.46075993,51.35916879,50.88946763,12.71671774,43.69552551,39.02248725,16.95327624,2.49464249,56.23136972,56.64551715,56.23136972,55.8581405,56.60337304,52.91200174,11.08832619,53.83552351,4.53932263,9.37161042,40.31192194,5.32670896,5.6056209,5.72759056,40.03052175,39.52098076,48.92280052,2.07980093,2.44513641,1.90021696,4.28278224,35.86427449,4.5668909,1.89787758,50.60538299,51.06736539,6.86387886,26.35776426,51.00550605,43.62100435,43.35748405,3.86227579,2.64317924,43.46972081,43.81910044,50.62866919,51.1542886,50.62866919,50.53471905,50.53471905,51.07203265,2.66849721,,,,,,,,,,,,,
Sequence_13,6.71427202,1.97890086,3.13693808,2.60714155,2.47200341,2.2587809,2.38987621,2.60714155,1.6458385,1.88221275,3.46596146,4.11954861,45.68420145,3.98702585,49.37732304,16.13879349,49.2127635,4.71526976,3.16984276,2.42559294,4.0664766,50.62073778,7.5907399,4.17449005,2.41749987,7.68163778,2.56792119,3.33112292,4.59750688,41.17762724,38.70040199,40.69787214,37.70535965,47.84726277,2.06720712,45.02002931,38.5987197,4.69714534,4.56569846,4.38297555,4.69714534,5.23277716,4.32283056,4.69714534,5.09762595,7.66914955,4.14130578,3.5171704,1.37900053,7.43988399,4.69714534,1.06077895,1.06077895,1.06077895,3.71275275,3.11137743,4.32905489,1.91164443,46.82944511,50.70609167,4.06996635,2.62058201,8.91090682,2.13808247,49.76730367,3.40379459,3.7462012,4.53861572,46.36994655,4.44205122,47.96632209,47.06296861,2.05126371,53.15074097,29.40309751,2.90526633,46.68073184,46.27164376,31.47606288,23.06762111,31.47606288,31.47606288,5.73942981,18.71478866,1.23969467,46.18238897,45.96685665,45.96685665,45.96685665,45.62192446,46.9264521,8.5969617,45.62192446,3.87531907,56.97310778,49.65179337,49.65179337,50.82404044,9.3494872,49.15022926,49.49346033,49.85831594,5.97952278,5.97952278,6.98099421,4.06778273,?,46.95246962,48.93108186,52.18090207,31.47606288,46.82592641,45.97073281,31.47606288,46.88323013,45.59138921,43.75090997,2.68427007,46.77960678,46.33103428,29.44761285,31.29034774,28.81113626,31.29034774,28.81113626,31.24517692,0.000001,46.15084802,,,,,,,,,,,,
Sequence_12,4.46930371,3.20198321,3.20198321,3.72936282,3.83081725,4.00344081,3.70643294,4.41794588,3.5098514,3.73234331,3.58798147,3.2384468,5.52884949,3.45599122,1.93469252,3.63058342,2.88340981,4.64025506,7.98073486,2.5542873,4.8265807,2.53491155,5.11297587,3.43542119,4.1225799,3.95784347,4.0719725,3.4765381,5.40653675,6.22110984,9.84603055,10.65063672,9.71643764,3.02286734,3.96455303,51.7608514,43.5608093,2.83293722,2.97188878,2.9044249,3.3999653,3.71751526,3.77698093,3.44943786,6.00635036,6.83826615,2.63008073,2.95976093,12.84701473,4.39970761,2.83293722,3.87275636,3.82307887,3.82307887,2.80418409,2.07272755,7.33272026,2.49086251,5.21447882,13.70326229,7.34961937,3.05169198,43.45589768,26.97465233,5.24713885,3.77933075,3.25081662,3.15635908,2.22198906,2.9202388,49.83935096,46.93228835,5.22242936,2.58107961,4.05636319,2.58875345,3.24264207,4.0102453,4.22948425,6.09323934,4.72142702,4.30784726,4.38704542,3.9708025,6.91344105,3.58293098,3.34063565,3.34063565,3.34063565,3.65099243,41.82369678,10.78682051,6.25314667,4.99834951,10.3093703,2.38975808,2.46308831,2.3718937,3.03185583,2.00577762,2.30011102,3.88125662,4.06396653,26.26469969,3.40431372,4.48942609,1.7751895,5.15019645,2.94585395,47.28100266,4.22948425,7.15583769,3.23503967,4.22948425,3.24264207,3.61885701,2.39197482,32.35646631,3.19935932,3.47737158,3.82824098,5.32625901,4.51152543,4.67201816,3.81621948,3.67861709,3.88696981,2.70175673,2.47970087,,,,,,,,,,,
Sequence_11,47.59122973,5.31369333,6.70772084,4.01915477,4.56871452,4.06246797,3.98571842,4.63114519,3.4512467,2.44193144,5.96231198,6.918465,4.49761149,3.87117861,3.43415273,42.97597585,14.59551224,41.51370607,7.78142616,5.45514991,20.33712073,3.17577713,4.02876719,16.37576174,47.00668414,43.25654317,8.64315147,17.15397341,48.59532361,42.37975634,8.01415447,8.20879333,8.01700428,4.96771391,8.97655555,6.18105895,3.74707106,47.04713099,47.08436075,8.34538831,46.3666766,47.32083195,47.49398352,46.22628282,21.51200896,45.53910331,2.92224786,4.26968596,48.1481926,47.90942966,46.83130578,3.49016237,3.71769543,3.49016237,42.19817589,7.53295502,39.74802914,32.19788186,3.1385377,3.28568987,46.37299334,49.44599473,5.00535254,46.96976536,4.85462399,2.59090504,48.41847133,7.35405991,12.5494224,7.08622833,2.82759286,2.75831118,47.62878436,3.37739449,49.13070731,1.82950739,0.90885393,1.05580573,0.47665295,0.94472993,0.55085205,0.65050813,3.96451174,3.95182781,2.91755878,2.84091582,2.3975893,2.69388888,2.0549894,2.62004901,2.2180186,40.76622355,2.31079609,51.33139445,2.28710636,1.70154227,2.14905213,2.14905213,2.48342011,3.00209796,3.12407739,5.02757049,50.26953381,50.07835029,50.37992965,39.04764917,1.10711841,44.51366476,35.21241479,6.21091455,0.40765265,1.11471289,1.31279233,0.40765265,1.09601659,1.26817585,46.06254555,52.0143541,1.02566537,1.05167287,0.50844619,0.45119967,0.57175749,0.44304731,0.6826063,0.48169888,7.82340034,51.12351661,47.00568266,6.0838245,,,,,,,,,,
Sequence_10,46.82738917,4.98190116,5.66725406,3.40811825,3.65655105,3.42247546,3.38359753,3.60461924,2.96454907,3.36453726,7.05695585,8.01529104,3.9922699,3.75582325,4.17309983,35.6632881,15.3443416,4.72688938,5.594585,5.11779791,25.68453683,4.22468772,52.45831963,15.04368898,8.01645959,35.79836004,7.57369322,37.43738034,47.27413089,42.26457082,8.42380042,8.62076117,8.41754094,4.83800238,4.70968319,5.59782598,3.70625683,58.46001252,9.16316764,4.84973036,42.27932432,44.36740379,44.77253531,42.15439348,19.59954221,43.00083622,8.85372986,5.02346729,48.08180731,47.98212104,46.3829987,4.33056176,4.15575295,4.33056176,46.75982901,43.6886207,40.93192848,5.45810742,3.04817815,3.98528829,7.70277879,49.44283182,4.36537035,46.18089195,4.89454312,3.48116356,3.0176415,29.27193964,28.59289036,44.69207862,2.60504054,2.61670953,47.50341358,3.92422525,47.79240121,1.68891662,0.98476352,1.1066042,0.19756429,0.51695919,0.37933529,0.48240883,4.00340269,2.8894316,39.68732635,2.6075276,2.33261698,2.70625348,2.24422667,2.77060298,2.46055891,6.0952009,2.80931173,51.0369034,3.06253996,2.47971963,3.10889838,3.23547027,3.4885362,2.72778342,2.88452443,5.34403076,49.46665324,48.74646592,49.58614311,43.3842811,2.11317284,45.87070006,41.75137293,5.61987287,0.24691504,1.60396799,1.40440805,0.243515,1.15884114,1.31555815,44.35233162,51.72110547,1.0931552,1.11802698,0.24683713,0.15669661,0.24691843,0.33596708,0.39965747,0.29190352,89.32819863,50.84553593,11.70696541,4.96526739,0.48640667,,,,,,,,,
Sequence_9,49.18653072,46.35742617,40.98365574,45.09144906,41.10291188,40.14599055,9.85523082,45.09144906,47.04862007,3.72319266,6.67859595,7.3177415,4.70804453,4.10047746,3.30958359,6.09070071,22.15598439,46.34257716,45.44268223,47.14210601,8.8030741,3.88559255,6.4730993,48.70183534,48.31524071,48.56757383,45.9999964,8.64744968,49.67797511,49.80606203,7.57972254,7.57972254,7.57972254,2.38671736,53.81742597,4.30165882,4.6420044,41.69416602,41.63111321,41.7330968,41.14416103,47.30549867,45.02566312,17.26741787,45.61044976,46.16481251,7.20856447,15.15892187,7.66490917,48.17235458,41.69416602,37.87961764,12.22859984,35.18916868,49.74268357,46.39235815,41.82997105,49.56210785,4.44158962,3.72448332,10.67044212,49.57907301,5.00012196,49.70767103,3.78897001,4.59428613,48.19285703,33.98655215,10.92319351,47.88116097,3.64182162,4.35831823,47.61890182,7.15486257,49.81862554,9.13397689,0.88990473,0.86399489,2.22579926,2.54557542,2.28059156,2.57734198,3.11742958,18.80126245,44.62966961,4.6378623,4.0938089,4.22311621,3.90745828,4.0938089,3.64136494,48.27350785,4.09173316,48.98898664,2.95745863,4.68995721,4.63808352,3.8848128,4.29598767,5.51911587,5.5714171,7.9216373,8.49306323,48.87623407,46.49687966,41.8223666,2.50580258,8.38113598,4.1407489,6.91168786,2.43499783,0.90472212,0.96401663,2.3058284,0.77419381,0.9686014,37.82417036,3.05177382,1.01313333,1.04039216,2.48014275,2.08915446,2.01381932,2.10236369,2.80202424,2.58561785,4.28904751,44.00319103,49.36728776,43.48272928,1.8148321,2.22869492,,,,,,,,
