,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_161,46.38357438,4.80045234,52.50148205,46.49496112,0.000001,0.16633968,48.43219296,7.79586669,50.73571921,7.78320075,7.3702251,49.94003535,50.93759373,10.9634553,5.82421701,8.40839549,49.55077577,51.24582404,3.49806459,1.70001575,2.34268343,11.545761,13.79180079,46.11770939,4.46543784,49.25394762,45.2953604,49.69856933,40.08710524,47.1058425,48.60876787,47.5813542,48.12111924,53.7895376,8.05010509,1.83595229,50.63233226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_160,3.83054549,33.72493458,10.63306863,30.10580032,50.47002564,50.60726905,5.46277705,46.09160796,2.73742233,7.61733325,49.16499951,1.53618037,12.2214664,4.31377471,45.10793987,42.87907643,8.14350356,8.74979559,6.25850529,2.617556,48.49094371,45.89125102,12.86072584,1.55699391,6.65578179,2.37887095,1.45445724,1.46475721,4.61439972,2.87576291,1.61815374,1.47331008,2.76916406,5.06450015,1.17075376,2.29658589,2.18404024,48.2385257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_159,3.53298538,6.35286624,49.97685089,3.14223601,9.84215181,6.00848518,3.82496193,5.48441685,2.56017999,50.61006998,50.61803608,2.97464602,13.67865225,46.12323864,49.4858774,4.00478866,4.674524,3.17651177,4.3268824,21.06132358,3.04562743,47.25439239,5.20622825,2.69867315,2.63029871,2.28551616,3.58595338,4.30935435,0.20591855,3.19991129,3.17082058,2.92983686,2.83119464,6.36317798,6.79342019,3.66618606,6.3410694,5.43131805,46.95552912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_158,1.23662398,43.73653177,50.91933065,1.74998469,8.89933092,6.61022434,2.51669086,8.87165976,5.67233153,50.01980872,50.24172822,33.4288378,9.67160299,44.15677246,47.72325991,4.21728627,16.29573038,4.33905168,3.95234775,30.6840435,6.0326741,50.7706892,47.7672967,2.3258788,4.50832849,4.70036618,4.24312068,3.58235336,1.71558173,5.26839594,5.79958041,4.96379223,4.97555232,55.09827569,10.53526809,6.00647907,48.0971331,6.60166197,48.04701097,1.09786028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_157,3.53298538,6.35286624,49.41940956,3.14223601,9.84215181,6.00848518,3.82496193,5.48441685,2.56017999,50.61006998,50.61803608,2.97464602,13.67865225,46.12323864,49.4858774,4.00478866,3.86167943,3.17651177,3.97717622,3.2367686,2.42049065,47.25439239,4.7266782,2.69867315,2.63029871,2.21368836,3.43483277,4.07085368,0.41235493,3.0869664,2.8550098,2.59619616,2.73780351,4.73064508,6.01230776,3.00790038,5.71509367,5.67264924,5.42141655,0.14809254,1.320802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_156,50.69896482,54.48864008,49.25231826,49.4588516,6.37094991,5.60325582,48.3932193,50.75821684,50.54491661,2.07125455,1.4524226,50.92324793,50.53608609,52.57250488,8.19179974,3.00479072,48.58610052,50.7482091,47.74713141,46.35250238,29.53137384,34.77829687,48.23004567,50.92057644,49.16631812,49.94553519,50.28993398,51.19576037,50.73255899,4.94844932,50.70409657,50.46675988,4.32837686,49.40671887,5.31710855,9.6809699,44.54411173,6.37094991,50.91800126,50.95443415,50.51251311,50.95443415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_155,50.96196263,10.89046611,49.25231826,50.67785801,7.01905448,6.2530312,49.93920539,51.30083817,50.04820074,1.32873046,2.44421692,49.81326231,50.80842278,51.72369369,9.11578668,3.67697463,48.58610052,51.48038523,47.74713141,46.35250238,29.53137384,29.09181962,50.08784975,50.146335,50.35830553,48.21043554,48.60093379,49.36050494,50.73255899,48.23700641,49.37041344,49.20196231,48.22019352,49.40671887,6.48740467,9.6809699,23.99885939,7.01905448,47.55473021,50.95443415,50.51251311,50.95443415,0.13263513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_154,48.04362162,4.94940998,47.65640576,45.19077899,6.35669585,5.12470795,6.26103528,3.48894674,47.88384748,5.69837176,5.62255298,48.06522257,45.43339312,51.74179182,50.18178029,5.30776932,44.31204852,45.49334541,3.10167417,18.89319108,2.85094804,47.46478066,3.89947693,6.30627608,6.33152309,4.94977722,3.45365148,4.79862002,5.00393495,3.52539205,4.93411243,6.15839614,3.68199956,6.23778867,9.56323838,4.3122608,48.12529391,5.86419045,40.65209598,4.3353253,5.34982109,4.3353253,4.42709311,4.71396925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_153,6.7616705,22.13764021,49.80111864,45.61587324,41.95696601,19.36707781,42.637353,23.01054309,3.26408907,49.53304726,49.48880919,8.28279616,1.36051568,33.27174457,41.3132683,49.03527984,39.6432047,3.6711647,43.81885904,42.62715803,3.59735187,46.27051954,48.29529449,2.90882171,3.75613578,47.68907679,44.77370165,45.84651565,50.1804694,46.90033663,40.61788258,41.70436495,46.5213574,51.08936173,48.87520553,35.38517218,48.64360909,38.72541152,42.52595578,49.33923265,50.07974368,41.51297281,50.67184707,50.67184707,46.39740625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_152,7.56513674,5.80478311,50.94269437,6.26504857,5.65447799,4.22992161,6.15782116,6.79755188,3.67914358,5.16610051,4.56262243,5.00411572,3.85425792,5.11090013,15.50640137,2.77252882,23.30729491,11.75174286,2.02613082,3.19625171,3.49693047,5.53155278,7.44672436,1.87498239,6.23453889,2.88792299,2.49781646,1.86627406,46.97785955,3.36260822,3.52307514,3.96717244,3.33689462,54.83798758,4.11220783,3.64820846,5.53664203,3.84730202,3.23181003,5.51655651,3.44844071,3.74488592,49.70469011,46.40024724,4.12036303,39.3358921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_151,8.99466459,7.00230342,50.94269437,38.76939653,3.61250476,5.11022944,7.55787879,7.54463402,4.90091124,7.00126211,?,6.23470935,?,6.78552937,10.17546826,3.98036002,40.23788045,42.51862762,2.02613082,3.19625171,3.87683414,8.22880534,8.79531114,1.99395832,4.17385599,3.41396357,2.75012071,2.18895561,13.07055922,3.83127126,4.04016915,4.58399345,3.79998748,54.56062136,3.08181194,4.18894597,6.09178126,2.98200421,3.5337988,6.27290081,3.72742935,4.23281646,49.57010079,46.95925355,5.53001635,45.61529911,0.08100594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_150,7.08812637,2.43345119,48.55133484,40.47496033,6.85903717,49.68545939,6.20972758,10.68029606,5.48301466,9.22268505,47.89003966,3.50009689,44.23954144,2.12547509,11.80334249,7.37527694,13.90517823,36.76835867,5.52114647,31.62138095,47.99237871,50.85901429,4.31446905,6.22250692,3.11526089,5.70606303,6.08342775,5.5810108,9.37207156,7.03982669,5.65905724,4.59683935,6.89373063,53.84087093,4.01842241,3.9577987,5.17715271,4.46446067,4.69839342,7.80875369,92.32345864,4.51881807,48.51705713,12.21648283,12.75449561,40.69532364,5.98897738,4.42357192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_149,8.90050733,2.32114069,48.99225838,9.23624149,51.85708165,51.30579292,8.99130468,25.52501435,4.72663879,6.19452155,4.35935379,3.87642053,7.17181725,2.20025308,47.23482274,10.11817574,6.08288335,8.56120935,5.23644859,28.91028091,42.31970724,49.45469695,55.28419504,7.0862908,7.14530631,6.96832822,7.4262762,6.13047243,52.58400647,10.09581081,6.66321249,5.26495015,9.67427728,54.34603483,6.16242921,3.1147606,6.37833395,49.25174096,5.38306973,52.15828047,51.79664029,5.82810794,47.98503542,13.14755276,45.36496798,10.32926458,5.60912347,5.48179711,0.13882918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_148,3.66262731,26.87987224,47.80064159,27.20810789,49.59884428,49.81301383,5.50115715,41.57842817,1.5494437,7.17738489,43.42819869,2.57720862,3.55250711,47.3431287,45.94007517,3.16540934,2.20186309,4.48064285,3.55419623,1.33483031,2.38368377,5.12193358,4.41214138,1.26821344,8.40908326,1.57592684,2.95067949,2.71151866,4.48319902,2.08930888,2.07920677,1.73441074,2.10607712,?,1.81132687,0.55524491,3.20124753,45.77242331,1.575249,5.97218971,7.66440406,5.05760993,2.91168157,3.09725709,7.60227661,4.87412015,2.34359462,2.47458354,3.5279521,3.53481008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_147,4.16574534,28.98470864,45.85345295,25.07090742,50.24977741,49.98230596,5.77756493,41.69605498,1.39889875,6.81355852,43.05885508,2.64593598,3.50254506,46.89404056,5.68012042,3.26165674,1.9185359,3.99355071,3.62097933,1.31020066,2.38368377,4.92688271,4.02520082,1.60920255,11.2943311,1.40443594,2.72698128,2.24727875,4.79757215,1.9056119,2.07920677,1.92976908,1.92809391,10.46788164,1.97734484,0.4511597,3.07899151,47.30067091,1.75108247,6.45593017,7.75184577,5.38608097,2.58021182,2.7380874,52.16015958,4.94319656,2.44935433,2.84005184,3.91245412,3.65941945,0.13820563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_146,3.66262731,26.87987224,45.85345295,27.20810789,49.59884428,49.81301383,5.50115715,41.57842817,1.5494437,7.17738489,43.42819869,2.57720862,3.55250711,47.3431287,45.94007517,3.16540934,1.89478755,4.48064285,3.62097933,1.31020066,2.58591219,5.12193358,3.91435019,1.26821344,8.40908326,1.37624507,2.67527295,2.43163681,4.69679904,1.87042311,2.04030655,1.89583346,1.89378662,6.51671368,1.78049119,0.44453141,2.84763194,46.06627366,1.5496804,6.2644088,7.66053834,5.22445527,2.91168157,3.09725709,7.60227661,5.11199156,2.41852014,2.54881335,3.68557085,3.69777293,0.06722555,0.06722555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_145,11.32014055,39.46451301,5.71996568,13.79204691,48.94807423,50.90222382,3.00540624,47.92053415,2.14651295,44.70393703,48.40216928,2.13064077,35.01285033,51.33640346,48.86676016,5.11873819,9.45222185,29.32340799,6.51829928,3.04240714,48.84941604,2.96914649,7.44420133,1.43778228,10.17460511,1.91909993,2.39164574,3.21631393,2.44797593,2.90362857,1.4975103,2.03984622,2.76394333,3.97690528,1.84473492,2.9931934,2.8799682,45.44454259,1.55766297,5.11978346,54.70246634,3.21614124,4.93778349,5.64461679,7.2012824,43.80641242,3.89794522,4.6102763,4.93650616,5.87945592,2.51144246,2.51144246,2.47724236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_144,1.31436418,54.90600771,50.13347122,5.33003772,44.66362194,45.62310795,5.93859514,2.94932313,1.77345536,51.2931288,50.46144142,4.47508649,8.94877634,48.85332551,48.98953832,5.18204567,3.01448877,2.59543869,5.38323401,21.43362337,2.14415098,47.67014499,40.05708786,1.20991664,3.08096554,4.32230705,4.02229971,4.10089907,1.06226034,3.52227922,3.27311042,2.58129492,3.37615132,55.12595112,8.33052383,3.5299089,4.05257332,8.85137704,46.59646967,0.64931354,0.90874507,0.79505414,50.51419569,51.36262606,4.88417049,48.13356239,5.39337349,5.85959011,52.35722748,51.23857927,4.61287699,4.56947599,4.43817611,4.34760904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_143,1.73669466,55.19408764,50.46008446,2.18246489,44.79176848,44.07839049,5.65056918,5.17771407,3.06271662,51.27562264,50.32643592,3.77009023,8.35331475,47.37191763,47.80442586,5.59616794,1.54620334,4.28549175,3.21788614,18.8260602,2.48775968,46.13884267,38.56322257,1.88168226,3.37616796,2.55892099,4.20451294,3.85071227,0.7148111,2.46375663,2.82223545,1.77801788,2.19730132,55.58613462,8.7283289,3.98236777,5.60445209,12.09989499,46.43143141,0.6034854,0.70702336,0.73867736,50.82710338,51.81867473,4.61119988,48.79774766,4.90168677,5.69181011,51.78965389,51.59902269,4.90028473,4.5992105,4.75510427,53.57739619,0.33977482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_142,50.41134842,17.38872967,7.0264512,4.83134206,51.28650614,51.09692443,49.77146474,45.02342498,48.5384224,29.37201246,5.82713532,41.55545698,50.83536423,37.55669156,22.81985904,50.55809418,50.28289304,49.0037588,53.74322643,53.35550487,50.52660557,9.29111123,8.22964859,50.76958428,51.56950666,49.61179712,50.19370443,48.82080143,16.84760948,50.85404575,49.23748992,47.92760953,50.62270066,14.32779068,48.55144107,53.64331067,51.57778527,50.77221382,48.06255476,22.42943905,18.59694588,51.73482902,47.43915051,48.09965663,48.29701959,10.80945789,49.47914255,49.72819704,55.18585604,55.28876511,53.17789328,52.94807451,52.943608,50.81845971,20.86752723,21.70071316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_141,3.03454827,53.71602014,50.69242981,46.59270052,1.7662808,1.75214802,4.16193879,47.31619004,39.31083916,6.86915638,6.52872844,45.24133816,44.78978852,47.03332946,7.36431812,4.88326836,43.43929532,46.8004461,49.80775208,1.64756704,13.80460202,5.68293807,4.43479175,47.06251046,10.745905,7.48586527,46.31439306,44.4088211,53.10539343,6.76204278,5.62160544,6.98044171,7.38840621,4.34083678,6.86972368,2.85896355,4.24422846,2.32439655,3.59917077,52.72261525,53.69414473,8.93997334,5.74280365,6.6357178,49.40359876,5.66332849,9.9364628,44.37145505,46.95036908,47.26168571,4.01085799,4.03875051,3.93224712,4.10459806,52.01147498,51.72191967,7.16345269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_140,50.73141133,51.00169671,5.62719661,3.18872053,52.21474005,52.21474005,27.15708401,50.7627553,34.06081394,3.09662998,3.09662998,48.36396167,50.76718848,50.0623861,51.34279508,1.36870835,4.07648737,47.40119181,3.89228558,53.08551635,50.31347449,39.790887,6.47163804,48.499844,6.65423413,2.4256498,2.16523924,6.36042186,54.19232157,3.37419495,14.94816715,46.96784473,2.94262108,5.32168263,45.27584858,54.92067041,5.48228658,50.7084511,15.07585496,54.09558908,54.38055438,50.52956241,1.24812514,1.24812514,4.62832783,55.3626205,46.15391602,46.15391602,55.07607963,55.0634345,55.51139342,55.33257365,55.33257365,44.31152908,53.93827992,54.32053198,8.46706478,11.89404926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_139,6.01908082,55.30385498,5.17953196,1.94564358,49.33238272,48.98695487,6.60578154,8.48350538,3.45401709,49.38396831,2.7651794,7.35344054,3.23421685,49.03571707,46.37452783,5.65048537,23.07214266,2.70796379,26.59373443,46.21102166,49.64747791,45.1526444,48.68578946,5.97686353,30.77514965,3.56097249,9.59880575,7.72761345,41.77422149,4.11374769,5.03419237,6.3083445,3.78132888,7.53909692,38.4656839,40.09218687,7.76157501,48.44718947,11.74089658,3.58804453,45.0438856,3.15300271,49.84055577,50.94468063,46.9846114,9.37528978,42.69113203,44.55672241,32.70329962,7.46594091,34.2131071,34.92768644,35.76154287,15.20982093,9.83134965,8.18388731,51.69814605,46.91847084,2.79021778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_138,53.14348268,26.04578129,7.46944136,51.55341107,51.39443545,51.21234386,48.9363429,48.85693141,50.13804808,22.03138693,11.65378079,47.90413512,51.96388684,45.66609027,47.48809138,49.31807081,51.71444445,51.64218459,54.63743988,52.87463111,51.3780979,6.20471856,8.86905534,49.49324929,52.19385207,50.51342648,50.38044927,49.14642547,18.62337569,52.04300697,50.81810467,49.94891689,51.78749396,15.96635558,49.43995724,53.68638699,45.34103353,50.84269795,49.26172777,23.80095779,20.01959094,52.28853177,44.18279956,45.63771799,50.14976931,11.4013782,50.31528076,50.50985227,55.46928492,55.5803105,53.54979798,53.30645885,53.31150049,50.1765356,23.00625825,23.85897603,0.19893744,7.57094972,8.57725325,51.32090303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_137,53.14348268,26.04578129,7.61813836,51.55341107,51.39443545,51.21234386,48.9363429,48.85693141,49.90788552,22.03138693,11.65378079,47.98152188,51.96388684,45.16055276,47.48809138,49.38634696,51.54775501,51.64218459,54.36839479,53.09094912,51.42714022,6.14510003,8.83056442,49.49324929,52.08206343,50.45065429,50.30963016,49.04432059,18.46467156,52.06127167,50.75466376,49.8706669,51.80562785,16.28408108,49.36885761,53.67510603,45.4327787,50.95257433,49.17313856,23.61856502,19.80711195,52.15916513,44.18279956,45.63771799,49.96119826,11.37188132,50.39799094,50.59757374,55.44559466,55.58327177,53.74151279,53.48271268,53.4880408,50.03035528,22.77752011,23.62226679,0.30555522,7.58389925,8.59448912,51.58103637,0.09224456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_136,2.5420812,55.27875782,50.85804468,5.5178274,50.77530354,50.59260075,4.08799211,1.70441463,2.06837001,50.85923971,49.77348212,3.75304857,7.18212397,46.28191457,46.07146114,2.59238878,4.67396432,3.32869354,2.60556228,1.77668426,3.73710484,46.42985629,45.38053115,2.60586288,11.29937897,2.10888492,5.60533396,3.68513724,8.61155522,3.10513318,3.31155103,2.20178605,3.03916073,55.46148222,5.17560905,1.83916631,3.74628537,48.38320304,4.28615855,6.30192042,4.4996983,3.59544954,51.07059018,51.94202396,48.20592546,30.2915046,2.15676666,2.49573908,4.73755703,4.34456061,1.52677284,1.46701896,1.59861309,8.00002973,2.96317808,3.94391457,53.45491415,5.93450439,55.77815503,11.32881955,53.79673265,53.95455216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_135,44.97530929,39.66851225,49.63876701,12.16190841,50.57812117,49.43325444,47.10610853,49.54923574,3.16603099,4.81352482,4.96381179,3.49783087,37.64929124,4.53635339,49.78675757,17.76995523,53.53468144,44.88523225,58.23028358,57.34364355,47.16708303,5.85792468,48.11049436,2.55885867,4.49936274,4.00589319,3.02780801,2.4037427,53.82326847,4.59402836,3.89048247,3.49263721,4.4777851,5.82100852,55.31396375,58.12699034,3.71293945,54.09428487,10.30474761,54.02298518,55.48653107,54.06275106,4.86991198,5.09053775,5.08668945,55.76515681,5.87250438,7.16372607,56.91317836,56.65460679,57.54175584,57.54175584,57.56173732,53.22953774,53.73038087,53.07254214,6.36126105,16.02217055,7.22512948,53.64919307,6.83893874,6.79981329,58.2373128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
